Run	RgxName	genPolicy	timeoutStrGenSecs	totalTimeoutSecs	popSizeFactor	TimeNs	numGens	finalFitness	genStrings	numFinalFaults	numInitFaults	monitoring	maxNumGens	thFitness	OracleName	FinalRgx
1	Email	RND_POP	10	180	100	191566514989	6	1.0	49153	1.5971821437670736E291	1.728357344786866E297	false	2147483647	2.0	Email_oracle	(\w){2,}@((((([\a-\z]|(([\A-\Z]|[\a-\z])|[\a-\z]))|\_)|[\0-\9])){1,}){2,}.(([\a-\z]|[\A-\Z])){2,3}
1	Date1	RND_POP	10	180	100	190009144575	6	1.0	24642	7.05184896E8	14592.0	false	2147483647	2.0	Date1_oracle	(\0[\1-\9]|\1((\0|\1)|\2))(((\-|\ )|\/)|\.)((\0[\1-\8]|((\1|\2)[\1-\9]|\3(.&~((\0|\1)))))|[\a-\z])(((\-|\ )|\/)|\.)((19|20)|[\a-\z])(\d|\D)\d
1	IndianVehicle	RND_POP	10	180	100	190008527181	7	1.0	16063	7.639049392601433E28	8.260885235240116E34	false	2147483647	2.0	IndianVehicle_oracle	(((.&~((.&~((([\A-\Z]|(\||[\a-\z]))|[\0-\9])))))){2,2}(\s){1,1}(\d){2,2}(\s){1,1}((.&~(((([\A-\z]|\|)|([\a-\z]|[\A-\Z]))|[\0-\9])))){1,2}(\s){1,1}(\d){1,4})?(((.&~(((\||([\a-\z]|[\A-\Z]))|[\0-\9])))){3,3}(\s){1,1}(\d){1,4})?
1	ItalianFiscalCode	RND_POP	10	180	100	203052296287	7	1.0	32268	9.708414918724648E281	3.530480472217354E24	false	2147483647	2.0	ItalianFiscalCode_oracle	((((([\A-\Z]|[\a-\z])|[\a-\z])|[\a-\z])|~([\0-\9]))){6,6}([\0-\9]){2,2}((([\A-\Z]|[\a-\z])|[\0-\9])){1,1}([\0-\9]){2,2}(([\A-\Z]|[\a-\z])){1,1}([\0-\9]){3,3}((~([\A-\Z])|[\b-\z])){1,1}
1	URL	RND_POP	10	180	100	180412538516	6	1.0	20666	9.687193300201184E288	9.687341056824397E288	false	2147483647	2.0	URL_oracle	\\(((.&~(\\))){1,}\\)*((.&~((.&~((\/|(\:|(\*|(\?|(\"|(\<|(\>|\|)))))))))))){1,}.htM(\l)?(((.&~(\\))){1,}\\)*((.&~((.&~((\/|(\:|(\*|(\?|(\"|(\<|(\>|\|))))))))))))?.htM(\l)?
1	phone	RND_POP	10	180	100	183985087038	7	1.0	96313	1.2898012509606537E266	1.10000000008E11	false	2147483647	2.0	phone_oracle	(~([\a-\z])|[\0-\9])((\d|\D)){1,2}\-((\d|\D)){3,3}\-(\d){4,4}
1	URL1	RND_POP	10	180	100	190009113212	7	1.0	25755	4.970187462399775E290	9.687341056824397E288	false	2147483647	2.0	URL1_oracle	(([\B-\Z]|[\a-\z]):\(((.&~((((((\:|\*)|\?)|\<)|\>)|\|))))?){1,}~(.)(\w){2,6}|(\\){2,2}((.&~(((((((\/|\:)|\*)|\?)|\<)|\>)|\|))))?\.(\w){2,6})
1	UScurrency	RND_POP	10	180	100	190013434362	7	1.0	93066	244.0	109.0	false	2147483647	2.0	UScurrency_oracle	\$((\d|\d)((\d|(\D|\D)))?(\,(\d){3,3}){1,}|(\d){2,})\.(\d){1,2}
1	Date2	RND_POP	10	180	100	190013991508	2	1.0	1100	15741.0	13893.0	false	2147483647	2.0	Date2_oracle	((\0[\1-\9]|((\1|\2)\d|\3(\0|\1)))\/(\0((((\1|\3)|\5)|\7)|\8)|\1(\0|\2))\/(\1[\6-\9]|[\2-\9]\d)(\d){2,2}|((\0[\1-\9]|((\1|\2)\d|30))\/(\0(((((((\1|\3)|\4)|\5)|\6)|\7)|\8)|\9)|\1((\0|\1)|\2))\/(\1[\6-\9]|[\1-\9]\d)(\d){1,2}|((\0[\1-\9]|(1d|\2[\0-\8]))/02/(\1[\6-\9]|[\2-\9]\d)(\d){2,2}|29/02/((\1[\6-\9]|[\2-\9]\d)(\0(\4|\8)|((((\2|\4)|\6)|\8)((\0|\4)|\8)|((((\1|\3)|\5)|\7)|\9)(\2|\6)))|(16|((((\2|\4)|\6)|\8)((\0|\4)|\8)|(((\3|\5)|\7)|\9)(\2|\6)))00))))
1	USphoneNumber	RND_POP	10	180	100	182463599578	7	1.0	93235	8.030005665483646E286	1.310048073509376E18	false	2147483647	2.0	USphoneNumber_oracle	[\1-\9](~((\d|\D))){2,2}\-(\D){3,3}\-(~(\d)){2,2}
