regex	method	correct	testForMemb	testForEq	faults	totalStrings	time
Email	Random_0_10_10	true	96	10	0.0	2.4008890760512425E210	4924532
Email	Random_0_10_20	true	96	20	0.0	2.4008890760512425E210	5503652
Email	Random_0_10_50	true	96	50	0.0	2.4008890760512425E210	7135903
Email	Random_0_10_100	true	96	100	0.0	2.4008890760512425E210	5282711
Email	Random_0_10_200	true	96	200	0.0	2.4008890760512425E210	5426457
Email	Random_0_10_300	true	96	300	0.0	2.4008890760512425E210	4954400
Email	Random_0_10_400	true	96	400	0.0	2.4008890760512425E210	3297785
Email	Random_0_10_500	true	96	500	0.0	2.4008890760512425E210	3587567
Email	Random_0_10_600	true	96	600	0.0	2.4008890760512425E210	3970664
Email	Random_0_10_700	true	96	700	0.0	2.4008890760512425E210	4402621
Email	Random_0_10_800	true	96	800	0.0	2.4008890760512425E210	4123717
Email	Random_0_10_900	true	96	900	0.0	2.4008890760512425E210	4191820
Email	Random_0_10_1000	true	96	1000	0.0	2.4008890760512425E210	5540532
Email	Random_0_10_2000	true	96	2000	0.0	2.4008890760512425E210	6853192
Email	Random_0_10_3000	true	96	3000	0.0	2.4008890760512425E210	8341285
Email	Random_0_10_4000	true	96	4000	0.0	2.4008890760512425E210	8359550
Email	Random_0_10_5000	true	96	5000	0.0	2.4008890760512425E210	9215987
Email	Random_0_10_10000	true	96	10000	0.0	2.4008890760512425E210	16486131
Email	Random_0_10_20000	true	96	20000	0.0	2.4008890760512425E210	31683982
Email	Random_0_10_30000	true	96	30000	0.0	2.4008890760512425E210	45674439
Email	Random_0_10_40000	true	96	40000	0.0	2.4008890760512425E210	59538575
Email	Random_0_10_50000	true	96	50000	0.0	2.4008890760512425E210	69012482
Email	Random_0_10_100000	true	96	100000	0.0	2.4008890760512425E210	137729414
Email	Random_0_10_200000	true	96	200000	0.0	2.4008890760512425E210	273698621
Email	Random_0_10_300000	true	96	300000	0.0	2.4008890760512425E210	443749809
Email	Random_0_10_400000	true	96	400000	0.0	2.4008890760512425E210	490495816
Email	Random_0_10_500000	true	96	500000	0.0	2.4008890760512425E210	615290348
Email	Random_0_10_1000000	true	96	1000000	0.0	2.4008890760512425E210	1145022973
Email	Random_0_20_10	true	96	10	0.0	2.4008890760512425E210	1593776
Email	Random_0_20_20	true	96	20	0.0	2.4008890760512425E210	1087784
Email	Random_0_20_50	true	96	50	0.0	2.4008890760512425E210	1300032
Email	Random_0_20_100	true	96	100	0.0	2.4008890760512425E210	1951226
Email	Random_0_20_200	true	96	200	0.0	2.4008890760512425E210	1526122
Email	Random_0_20_300	true	96	300	0.0	2.4008890760512425E210	1384993
Email	Random_0_20_400	true	96	400	0.0	2.4008890760512425E210	2222517
Email	Random_0_20_500	true	96	500	0.0	2.4008890760512425E210	2141382
Email	Random_0_20_600	true	96	600	0.0	2.4008890760512425E210	2744807
Email	Random_0_20_700	true	96	700	0.0	2.4008890760512425E210	2669455
Email	Random_0_20_800	true	96	800	0.0	2.4008890760512425E210	2477253
Email	Random_0_20_900	true	96	900	0.0	2.4008890760512425E210	2916002
Email	Random_0_20_1000	true	96	1000	0.0	2.4008890760512425E210	3045825
Email	Random_0_20_2000	true	96	2000	0.0	2.4008890760512425E210	6132537
Email	Random_0_20_3000	true	96	3000	0.0	2.4008890760512425E210	14395025
Email	Random_0_20_4000	true	96	4000	0.0	2.4008890760512425E210	9694220
Email	Random_0_20_5000	true	96	5000	0.0	2.4008890760512425E210	11278350
Email	Random_0_20_10000	true	96	10000	0.0	2.4008890760512425E210	21602865
Email	Random_0_20_20000	true	96	20000	0.0	2.4008890760512425E210	43327234
Email	Random_0_20_30000	true	96	30000	0.0	2.4008890760512425E210	63365794
Email	Random_0_20_40000	true	96	40000	0.0	2.4008890760512425E210	83659825
Email	Random_0_20_50000	true	96	50000	0.0	2.4008890760512425E210	107310452
Email	Random_0_20_100000	true	96	100000	0.0	2.4008890760512425E210	211558596
Email	Random_0_20_200000	true	96	200000	0.0	2.4008890760512425E210	417600131
Email	Random_0_20_300000	true	96	300000	0.0	2.4008890760512425E210	633327037
Email	Random_0_20_400000	true	96	400000	0.0	2.4008890760512425E210	827711666
Email	Random_0_20_500000	true	96	500000	0.0	2.4008890760512425E210	1039323161
Email	Random_0_20_1000000	true	96	1000000	0.0	2.4008890760512425E210	2154226390
Email	Random_0_30_10	true	96	10	0.0	2.4008890760512425E210	1062120
Email	Random_0_30_20	true	96	20	0.0	2.4008890760512425E210	1079002
Email	Random_0_30_50	true	96	50	0.0	2.4008890760512425E210	1261262
Email	Random_0_30_100	true	96	100	0.0	2.4008890760512425E210	1480469
Email	Random_0_30_200	true	96	200	0.0	2.4008890760512425E210	1928013
Email	Random_0_30_300	true	96	300	0.0	2.4008890760512425E210	2338701
Email	Random_0_30_400	true	96	400	0.0	2.4008890760512425E210	2367956
Email	Random_0_30_500	true	96	500	0.0	2.4008890760512425E210	3069629
Email	Random_0_30_600	true	96	600	0.0	2.4008890760512425E210	3104936
Email	Random_0_30_700	true	96	700	0.0	2.4008890760512425E210	3302523
